Route_name,Route_link,Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings
Bangalore to Kozhikode,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,,,,,,,,
Kozhikode to Bangalore,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,,,,,,,,
Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,,,,,,,,
Ernakulam to Kozhikode,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,,,,,,,,
Bangalore to Kannur,https://www.redbus.in/bus-tickets/bangalore-to-kannur,,,,,,,,
Kozhikode to Mysore,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,,,,,,,,
Kannur to Bangalore,https://www.redbus.in/bus-tickets/kannur-to-bangalore,,,,,,,,
Kozhikode to Thiruvananthapuram,https://www.redbus.in/bus-tickets/kozhikode-to-thiruvananthapuram,,,,,,,,
Mysore to Kozhikode,https://www.redbus.in/bus-tickets/mysore-to-kozhikode,,,,,,,,
Bangalore to Kalpetta (kerala),https://www.redbus.in/bus-tickets/bangalore-to-kalpetta,,,,,,,,
Kalpetta (kerala) to Bangalore,https://www.redbus.in/bus-tickets/kalpetta-to-bangalore,,,,,,,,
Thiruvananthapuram to Kozhikode,https://www.redbus.in/bus-tickets/thiruvananthapuram-to-kozhikode,,,,,,,,
Kozhikode to Thrissur,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur,,,,,,,,
Kozhikode to Kottayam,https://www.redbus.in/bus-tickets/kozhikode-to-kottayam,,,,,,,,
Kottayam to Kozhikode,https://www.redbus.in/bus-tickets/kottayam-to-kozhikode,,,,,,,,
Rayachoti to Bangalore,https://www.redbus.in/bus-tickets/rayachoti-to-bangalore,,,,,,,,
Kurnool to Hyderabad,https://www.redbus.in/bus-tickets/kurnool-to-hyderabad,,,,,,,,
Kadiri to Bangalore,https://www.redbus.in/bus-tickets/kadiri-to-bangalore,,,,,,,,
Visakhapatnam to Rajahmundry,https://www.redbus.in/bus-tickets/visakhapatnam-to-rajahmundry,,,,,,,,
Hyderabad to Addanki,https://www.redbus.in/bus-tickets/hyderabad-to-addanki,,,,,,,,
Hyderabad to Anantapur (andhra pradesh),https://www.redbus.in/bus-tickets/hyderabad-to-ananthapur,,,,,,,,
Hyderabad to Markapuram,https://www.redbus.in/bus-tickets/hyderabad-to-markapuram,,,,,,,,
Rajahmundry to Vijayawada,https://www.redbus.in/bus-tickets/rajahmundry-to-vijayawada,,,,,,,,
Tirupati to Chennai,https://www.redbus.in/bus-tickets/tirupathi-to-chennai,,,,,,,,
Vijayawada to Visakhapatnam,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam,,,,,,,,
Bangalore to Anantapur (andhra pradesh),https://www.redbus.in/bus-tickets/bangalore-to-ananthapur,,,,,,,,
Bangalore to Chittoor (Andhra Pradesh),https://www.redbus.in/bus-tickets/bangalore-to-chittoor-andhra-pradesh,,,,,,,,
Anantapur (andhra pradesh) to Bangalore,https://www.redbus.in/bus-tickets/ananthapur-to-bangalore,,,,,,,,
Hyderabad to Kurnool,https://www.redbus.in/bus-tickets/hyderabad-to-kurnool,,,,,,,,
Tirupati to Bangalore,https://www.redbus.in/bus-tickets/tirupathi-to-bangalore,,,,,,,,
Narasaraopet to Hyderabad,https://www.redbus.in/bus-tickets/narsaraopet-to-hyderabad,,,,,,,,
Vinukonda to Hyderabad,https://www.redbus.in/bus-tickets/vinukonda-to-hyderabad,,,,,,,,
Hyderabad to Vinukonda,https://www.redbus.in/bus-tickets/hyderabad-to-vinukonda,,,,,,,,
Visakhapatnam to Vijayawada,https://www.redbus.in/bus-tickets/visakhapatnam-to-vijayawada,,,,,,,,
Bangalore to Rayachoti,https://www.redbus.in/bus-tickets/bangalore-to-rayachoti,,,,,,,,
Hyderabad to Guntur (Andhra Pradesh),https://www.redbus.in/bus-tickets/hyderabad-to-guntur,,,,,,,,
Guntur (Andhra Pradesh) to Hyderabad,https://www.redbus.in/bus-tickets/guntur-to-hyderabad,,,,,,,,
Hyderabad to Eluru,https://www.redbus.in/bus-tickets/hyderabad-to-eluru,,,,,,,,
Eluru to Hyderabad,https://www.redbus.in/bus-tickets/eluru-to-hyderabad,,,,,,,,
Bangalore to Kadiri,https://www.redbus.in/bus-tickets/bangalore-to-kadiri,,,,,,,,
Madanapalli to Bangalore,https://www.redbus.in/bus-tickets/madanapalli-to-bangalore,,,,,,,,
Bangalore to Madanapalli,https://www.redbus.in/bus-tickets/bangalore-to-madanapalli,,,,,,,,
Macherla (andhra pradesh) to Hyderabad,https://www.redbus.in/bus-tickets/macherla-to-hyderabad,,,,,,,,
Rajahmundry to Visakhapatnam,https://www.redbus.in/bus-tickets/rajahmundry-to-visakhapatnam,,,,,,,,
Nandyal to Hyderabad,https://www.redbus.in/bus-tickets/nandyala-to-hyderabad,,,,,,,,
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,,,,,,,,
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,,,,,,,,
Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,,,,,,,,
Hyderabad to Srisailam,https://www.redbus.in/bus-tickets/hyderabad-to-srisailam,,,,,,,,
Karimnagar to Hyderabad,https://www.redbus.in/bus-tickets/karimnagar-to-hyderabad,,,,,,,,
Hyderabad to Karimnagar,https://www.redbus.in/bus-tickets/hyderabad-to-karimnagar,,,,,,,,
Hyderabad to Mancherial,https://www.redbus.in/bus-tickets/hyderabad-to-mancherial,,,,,,,,
Hyderabad to Nirmal,https://www.redbus.in/bus-tickets/hyderabad-to-nirmal,,,,,,,,
Hyderabad to Adilabad,https://www.redbus.in/bus-tickets/hyderabad-to-adilabad,,,,,,,,
Hyderabad to Ongole,https://www.redbus.in/bus-tickets/hyderabad-to-ongole,,,,,,,,
Kothagudem to Hyderabad,https://www.redbus.in/bus-tickets/kothagudem-to-hyderabad,,,,,,,,
Guntur (Andhra Pradesh) to Hyderabad,https://www.redbus.in/bus-tickets/guntur-to-hyderabad,,,,,,,,
Hyderabad to Guntur (Andhra Pradesh),https://www.redbus.in/bus-tickets/hyderabad-to-guntur,,,,,,,,
Godavarikhani to Hyderabad,https://www.redbus.in/bus-tickets/godavarikhani-to-hyderabad,,,,,,,,
Hyderabad to Kothagudem,https://www.redbus.in/bus-tickets/hyderabad-to-kothagudem,,,,,,,,
Hyderabad to Sathupally,https://www.redbus.in/bus-tickets/hyderabad-to-sathupalli,,,,,,,,
Hyderabad to Warangal,https://www.redbus.in/bus-tickets/hyderabad-to-warangal,,,,,,,,
Kodad to Hyderabad,https://www.redbus.in/bus-tickets/kodad-to-hyderabad,,,,,,,,
Jagityal to Hyderabad,https://www.redbus.in/bus-tickets/jagityal-to-hyderabad,,,,,,,,
Hyderabad to Bhadrachalam,https://www.redbus.in/bus-tickets/hyderabad-to-bhadrachalam,,,,,,,,
Hyderabad to Tirupati,https://www.redbus.in/bus-tickets/hyderabad-to-tirupathi,,,,,,,,
Hyderabad to Godavarikhani,https://www.redbus.in/bus-tickets/hyderabad-to-godavarikhani,,,,,,,,
Hyderabad to Armoor,https://www.redbus.in/bus-tickets/hyderabad-to-armoor,,,,,,,,
Hyderabad to Nandyal,https://www.redbus.in/bus-tickets/hyderabad-to-nandyala,,,,,,,,
Hyderabad to Kodad,https://www.redbus.in/bus-tickets/hyderabad-to-kodad,,,,,,,,
Hyderabad to Addanki,https://www.redbus.in/bus-tickets/hyderabad-to-addanki,,,,,,,,
Delhi to Patiala,https://www.redbus.in/bus-tickets/delhi-to-patiala,,,,,,,,
Patiala to Delhi,https://www.redbus.in/bus-tickets/patiala-to-delhi,,,,,,,,
Delhi to Ludhiana,https://www.redbus.in/bus-tickets/delhi-to-ludhiana,,,,,,,,
Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,,,,,,,,
Jalandhar to Delhi,https://www.redbus.in/bus-tickets/jalandhar-to-delhi,,,,,,,,
Delhi to Jalandhar,https://www.redbus.in/bus-tickets/delhi-to-jalandhar,,,,,,,,
Delhi Airport to Patiala,https://www.redbus.in/bus-tickets/delhi-airport-to-patiala,,,,,,,,
Ludhiana to Delhi Airport,https://www.redbus.in/bus-tickets/ludhiana-to-delhi-airport,,,,,,,,
Delhi Airport to Ludhiana,https://www.redbus.in/bus-tickets/delhi-airport-to-ludhiana,,,,,,,,
Jalandhar to Delhi Airport,https://www.redbus.in/bus-tickets/jalandhar-to-delhi-airport,,,,,,,,
Phagwara to Delhi Airport,https://www.redbus.in/bus-tickets/phagwara-to-delhi-airport,,,,,,,,
Delhi to Phagwara,https://www.redbus.in/bus-tickets/delhi-to-phagwara,,,,,,,,
Delhi Airport to Jalandhar,https://www.redbus.in/bus-tickets/delhi-airport-to-jalandhar,,,,,,,,
Phagwara to Delhi,https://www.redbus.in/bus-tickets/phagwara-to-delhi,,,,,,,,
Delhi to Amritsar,https://www.redbus.in/bus-tickets/delhi-to-amritsar,,,,,,,,
Amritsar to Delhi,https://www.redbus.in/bus-tickets/amritsar-to-delhi,,,,,,,,
Amritsar to Delhi Airport,https://www.redbus.in/bus-tickets/amritsar-to-delhi-airport,,,,,,,,
Delhi Airport to Phagwara,https://www.redbus.in/bus-tickets/delhi-airport-to-phagwara,,,,,,,,
Udaipur to Jodhpur,https://www.redbus.in/bus-tickets/udaipur-to-jodhpur,,,,,,,,
Jodhpur to Ajmer,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,,,,,,,,
Beawar (Rajasthan) to Jaipur (Rajasthan),https://www.redbus.in/bus-tickets/beawer-to-jaipur,,,,,,,,
Sikar to Jaipur (Rajasthan),https://www.redbus.in/bus-tickets/sikar-to-jaipur,,,,,,,,
Jaipur (Rajasthan) to Jodhpur,https://www.redbus.in/bus-tickets/jaipur-to-jodhpur,,,,,,,,
Aligarh (uttar pradesh) to Jaipur (Rajasthan),https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-jaipur,,,,,,,,
Jaipur (Rajasthan) to Aligarh (uttar pradesh),https://www.redbus.in/bus-tickets/jaipur-to-aligarh-uttar-pradesh,,,,,,,,
Jodhpur to Beawar (Rajasthan),https://www.redbus.in/bus-tickets/jodhpur-to-beawer,,,,,,,,
Jaipur (Rajasthan) to Pilani,https://www.redbus.in/bus-tickets/jaipur-to-pilani,,,,,,,,
Kishangarh to Jaipur (Rajasthan),https://www.redbus.in/bus-tickets/kishangarh-to-jaipur,,,,,,,,
Pali (Rajasthan) to Udaipur,https://www.redbus.in/bus-tickets/pali-to-udaipur,,,,,,,,
Udaipur to Pali (Rajasthan),https://www.redbus.in/bus-tickets/udaipur-to-pali-rajasthan,,,,,,,,
Kota(Rajasthan) to Udaipur,https://www.redbus.in/bus-tickets/kota-rajasthan-to-udaipur,,,,,,,,
Jaipur (Rajasthan) to Bhilwara,https://www.redbus.in/bus-tickets/jaipur-to-bhilwara,,,,,,,,
Sikar to Bikaner,https://www.redbus.in/bus-tickets/sikar-to-bikaner,,,,,,,,
Jaipur (Rajasthan) to Bharatpur,https://www.redbus.in/bus-tickets/jaipur-to-bharatpur,,,,,,,,
Jaipur (Rajasthan) to Mathura,https://www.redbus.in/bus-tickets/jaipur-to-mathura,,,,,,,,
Jaipur (Rajasthan) to Kota(Rajasthan),https://www.redbus.in/bus-tickets/jaipur-to-kota-rajasthan,,,,,,,,
